Year,Month,DAY,TEM,DPT,WIS,HUM,SLP,TRAN,ARAN,RAN
1994,12,31,20.3,14.8,4.1,74.87,1015.4,0,0,NRT
1995,1,31,19.3,12.1,5.5,68.03,1015.6,0,0,NRT
1995,2,28,21.7,14.4,5.4,73.68,1013.3,12,0.43,NRT
1995,3,31,26.2,18.2,7.3,67.52,1010.8,18,0.58,NRT
1995,4,30,28.7,23.1,7.8,77.53,1008.4,51,1.7,LTR
1995,5,31,29.9,25.4,10.8,79.16,1004.8,268,8.65,LTR
1995,6,30,28.8,24.5,12.1,83.23,1001.7,359,11.97,MHR
1995,7,31,28.1,25,12.8,84.65,1001.8,685,22.1,MHR
1995,8,31,28.4,25.5,8.8,85.32,1003.1,546,17.61,MHR
1995,9,30,28.4,24.2,9,83.2,1006.1,129,4.3,LTR
1995,10,31,28.5,24.6,4.2,81.87,1009.3,53,1.71,LTR
1995,11,30,25,21.2,5.5,85.07,1010.9,323,10.77,MHR
1995,12,31,21,16.1,5.2,77.55,1016.1,0,0,NRT
1996,1,31,19.9,14.3,4.9,74.39,1014.3,0,0,NRT
1996,2,29,22.4,14.8,5.1,71.41,1013,106,3.66,LTR
1996,3,31,26.4,21.9,10.4,78.94,1009,91,2.94,LTR
1996,4,30,28.2,23,7.3,79.47,1007.9,234,7.8,LTR
1996,5,31,29.5,25.1,11.1,79.52,1005.4,251,8.1,LTR
1996,6,30,28.8,24.1,11.8,81.63,1003.5,476,15.87,MHR
1996,7,31,28.7,25.6,9.6,84.55,1001.9,465,15,MHR
1996,8,31,27.6,25.1,9.7,87.39,1004.5,584,18.84,MHR
1996,9,30,28.8,24.7,7.4,83.9,1004.1,350,11.67,MHR
1996,10,31,27.6,23.7,8.6,81.61,1009.1,343,11.06,MHR
1996,11,30,24.9,20.3,4.5,81.6,1011.1,3,0.1,NRT
1996,12,31,21.8,16.7,5.3,76.65,1014.2,1,0.03,NRT
1997,1,31,19.3,12.8,5,71.71,1015.1,0,0,NRT
1997,2,28,21.4,14,5.3,73.89,1012.4,32,1.14,LTR
1997,3,31,25.5,21.2,7.2,80.16,1011.5,118,3.81,LTR
1997,4,30,26.1,20.6,6.4,77.77,1010.5,40,1.33,LTR
1997,5,31,28.7,24.6,10,80.26,1005.7,267,8.61,LTR
1997,6,30,28.5,24.1,9.4,82.7,1003.5,425,14.17,MHR
1997,7,31,27.9,25.6,10.5,88.52,1001.2,1033,33.32,MHR
1997,8,31,28.8,25.6,9.7,84.42,1003,383,12.35,MHR
1997,9,30,28,24.2,7.3,85.1,1007.6,530,17.67,MHR
1997,10,31,27.3,22.9,4.7,79.45,1012.8,134,4.32,LTR
1997,11,30,25.3,19.7,4.7,77.17,1013.9,49,1.63,LTR
1997,12,31,20.6,16.1,4.8,78.45,1015.5,4,0.13,NRT
1998,1,31,19.1,15.1,4.8,80.55,1015.4,37,1.19,LTR
1998,2,28,22.1,15,5.2,75.36,1014.5,103,3.68,LTR
1998,3,31,24.7,17.7,5.8,70.16,1012.2,97,3.13,LTR
1998,4,30,27.4,22.4,5.9,79.97,1009.8,184,6.13,LTR
1998,5,31,29.1,25,7.1,81.03,1005.4,387,12.48,MHR
1998,6,30,29.9,25.5,9.1,82.1,1002.9,132,4.4,LTR
1998,7,31,28.1,25.6,8.9,88,1003.4,1291,41.65,MHR
1998,8,31,28,25.7,7.9,88.26,1005.3,1194,38.52,MHR
1998,9,30,29,24.7,5.9,83.3,1006.8,193,6.43,LTR
1998,10,31,29.1,25.2,6.1,81.68,1008.6,122,3.94,LTR
1998,11,30,26.9,22.2,4,80.9,1010.5,93,3.1,LTR
1998,12,31,22.1,17.3,3.1,77.9,1013.9,0,0,NRT
1999,1,31,20.5,15.6,4.1,77.19,1012.8,0,0,NRT
1999,2,28,24.3,15.7,4.7,70.68,1013.1,0,0,NRT
1999,3,31,26.8,21.3,7.3,76.29,1007.3,0,0,NRT
1999,4,30,29.6,24.1,7.1,78.03,1006.4,0,0,NRT
1999,5,31,28.1,24.5,8.6,82.58,1004.2,463,14.94,MHR
1999,6,30,28.1,24.5,9.3,86,1002.8,879,29.3,MHR
1999,7,31,28.2,25.3,8.3,85.45,1001.4,491,15.84,MHR
1999,8,31,27.7,25.1,8.5,87.16,1003.3,848,27.35,MHR
1999,9,30,28.1,24.2,6.2,84.9,1006.1,203,6.77,LTR
1999,10,31,27.9,24.8,5.2,84.84,1008.7,201,6.48,LTR
1999,11,30,24.8,19.5,3.8,78.27,1011.8,2,0.07,NRT
1999,12,31,21.5,17,3.1,79.42,1014.4,107,3.45,LTR
2000,1,31,20,15,3.5,77.1,1013.6,17,0.55,NRT
2000,2,29,21.8,13.8,4.5,69.24,1012.5,0,0,NRT
2000,3,31,25.6,20.3,5.7,76.06,1009.9,16,0.52,NRT
2000,4,30,28.1,23,7.7,79.3,1007.1,108,3.6,LTR
2000,5,31,27.9,24.2,6.2,82.13,1004.8,748,24.13,MHR
2000,6,30,28.4,24.4,6.5,84.6,1003,643,21.43,MHR
2000,7,31,28.2,25.2,7.6,85.39,1002.1,713,23,MHR
2000,8,31,28.3,25.4,6.8,85.97,1003.4,689,22.23,MHR
2000,9,30,28.2,24.5,5.2,85.3,1006.1,138,4.6,LTR
2000,10,31,27.8,24.9,4.6,85.71,1007.8,416,13.42,MHR
2000,11,30,24.5,19.9,2.9,81.3,1012,15,0.5,NRT
2000,12,31,20.6,15.5,3.4,76.58,1013.4,0,0,NRT
2001,1,31,19,13.3,3,73.77,1012.9,0,0,NRT
2001,2,28,22.6,15.4,3.9,74.29,1011.2,12,0.43,NRT
2001,3,31,26,17,5,67.74,1009.8,1,0.03,NRT
2001,4,30,28.6,20.6,7.9,72.4,1008.2,41,1.37,LTR
2001,5,31,27.5,22,6.4,77.77,1003.9,423,13.65,MHR
2001,6,30,27.7,16.6,9,81.03,1001.3,567,18.9,MHR
2001,7,31,28,24.4,9.1,81.9,1001.9,385,12.42,MHR
2001,8,31,28.6,25,7.4,80.87,1002.6,238,7.68,LTR
2001,9,30,28.3,24,6.4,81.2,1006.2,224,7.47,LTR
2001,10,31,28.3,24.4,4.7,79.35,1009.2,242,7.81,LTR
2001,11,30,25.8,20.8,4.3,77.8,1012.9,81,2.7,LTR
2001,12,31,22.4,16.2,4.2,70.32,1015.6,0,0,NRT
2002,1,31,21.5,15.6,4.9,71.39,1014.6,1,0.03,NRT
2002,2,28,23.5,14,5.5,67.07,1014.6,0,0,NRT
2002,3,31,26.9,19.4,6.3,66.52,1010.5,70,2.26,LTR
2002,4,30,28,22.6,7.1,72.6,1008.6,67,2.23,LTR
2002,5,31,28.3,24.5,7.7,75.58,1003.7,453,14.61,MHR
2002,6,30,28.9,24.8,7.5,78.37,1002.9,366,12.2,MHR
2002,7,31,28.2,26,7.6,83.13,1001.8,920,29.68,MHR
2002,8,31,28.4,25.5,7.3,80.58,1003,456,14.71,MHR
2002,9,30,28.9,24.5,6.1,76.77,1006.7,145,4.83,LTR
2002,10,31,28.5,23.9,4.8,74.45,1009.9,129,4.16,LTR
2002,11,30,26.8,20.4,4.7,73.23,1011.7,128,4.27,LTR
2002,12,31,23.5,16.4,4.4,69.55,1014,10,0.32,NRT
2003,1,31,18.1,13.7,2.48,78.34,1015.5,0,0,NRT
2003,2,28,22.4,14.7,2.81,71.36,1013.6,0,0,NRT
2003,3,31,24.4,18.7,3.23,73.96,1011.1,53,1.71,LTR
2003,4,30,28.5,23.3,3.61,77.85,1010.3,167,5.57,LTR
2003,5,31,28.9,25.2,3.75,81.01,1005.2,198,6.39,LTR
2003,6,30,27,24.1,4.09,88.42,1001.8,1209,40.3,MHR
2003,7,31,28.4,25.7,3.91,85.55,1003.6,372,12,MHR
2003,8,31,28.2,25.6,3.49,85.93,1002.8,260,8.39,LTR
2003,9,30,28.2,24.7,2.75,85.79,1005.5,210,7,LTR
2003,10,31,28,25,2.19,84.63,1010.2,234,7.55,LTR
2003,11,30,23.6,18.2,1.63,77.14,1013.2,0,0,NRT
2003,12,31,21,16.8,2.24,79.75,1014.5,66,2.13,LTR
2004,1,31,19.3,13.4,2.47,79.4,1014.5,0,0,NRT
2004,2,29,21.8,14.8,2.71,72.93,1012.6,0,0,NRT
2004,3,31,25.9,21.1,3.86,77.03,1010.1,9,0.29,NRT
2004,4,30,27.4,22.9,4.03,80.89,1008.4,160,5.33,LTR
2004,5,31,29.4,25.2,3.22,79.58,1004.6,193,6.23,LTR
2004,6,30,28.1,24.5,3.08,85.8,1003.6,629,20.97,MHR
2004,7,31,27.7,25.4,3.68,87.73,1003.4,804,25.94,MHR
2004,8,31,27.9,25.4,3.68,86.8,1002.4,511,16.48,MHR
2004,9,30,27.6,24.4,3.22,87.48,1007.1,793,26.43,MHR
2004,10,31,27,23.7,2.62,84.07,1012,327,10.55,MHR
2004,11,30,23.3,18.1,1.5,78.65,1013.7,1,0.03,NRT
2004,12,31,21.2,16.2,1.66,76.9,1014.4,0,0,NRT
2005,1,31,19.5,14.3,2.74,74.76,1014.4,7,0.23,NRT
2005,2,28,23.1,15.7,3.27,73.33,1013.4,0,0,NRT
2005,3,31,26.1,19.5,4.07,79.66,1011.7,71,2.29,LTR
2005,4,30,28.2,22.9,3.41,78.06,1010.3,129,4.3,LTR
2005,5,31,28.7,24.7,3.56,79.26,1006.2,212,6.84,LTR
2005,6,30,29.2,25.3,4.69,83.85,1001.4,484,16.13,MHR
2005,7,31,28,25.6,4.38,87.09,1003.2,646,20.84,MHR
2005,8,31,27.6,25.8,4.04,90.16,1002.5,914,29.48,MHR
2005,9,30,28.2,24.8,2.96,86.48,1006,286,9.53,LTR
2005,10,31,27.8,24.9,2.54,84.8,1010.4,305,9.84,LTR
2005,11,30,23.9,19.4,1.89,80.44,1012.1,24,0.8,NRT
2005,12,31,21.5,17.4,2.16,79.57,1012.9,15,0.48,NRT
2006,1,31,19.6,14.7,2.6,76.6,1013.9,0,0,NRT
2006,2,28,23.7,17.3,2.96,78.25,1012.5,0,0,NRT
2006,3,31,26.5,19.5,2.84,69.68,1010.1,0,0,NRT
2006,4,30,28.5,22.7,3.37,75.62,1007.8,54,1.8,LTR
2006,5,31,28.5,25,3.61,82.13,1005.6,669,21.58,MHR
2006,6,30,28.6,25.2,3.89,86,1003.5,453,15.1,MHR
2006,7,31,28,25.8,3.94,88,1001.4,655,21.13,MHR
2006,8,31,28.2,25.4,4.14,85.1,1003.3,342,11.03,MHR
2006,9,30,28,24.6,3.48,86.18,1006.4,584,19.47,MHR
2006,10,31,27.9,24.9,2.13,84.6,1011.1,90,2.9,LTR
2006,11,30,24.5,20.1,2.26,81.52,1012.6,15,0.5,NRT
2006,12,31,20.5,16.1,2.17,78.87,1014.7,0,0,NRT
2007,1,31,18.4,13.3,2.28,76.36,1015.7,0,0,NRT
2007,2,28,21.7,14.7,2.94,75.24,1013.8,77,2.75,LTR
2007,3,31,24.8,17.4,3.52,68.61,1011.2,8,0.26,NRT
2007,4,30,27.5,22.6,3.53,79.16,1009.5,131,4.37,LTR
2007,5,31,28.9,25.3,3.52,81.46,1004.5,340,10.97,MHR
2007,6,30,28.4,24.9,3.76,85.36,1003.2,605,20.17,MHR
2007,7,31,27.6,25.6,3.67,89.3,1003.8,961,31,MHR
2007,8,31,28.2,25.7,3.33,86.42,1002.6,454,14.65,MHR
2007,9,30,27.9,24.7,3.03,86.99,1006,581,19.37,MHR
2007,10,31,26.9,24,2.74,85.02,1008.7,502,16.19,MHR
2007,11,30,24.9,21,2.5,83.5,1011.8,123,4.1,LTR
2007,12,31,20.4,16,1.99,78.46,1013.5,0,0,NRT
2008,1,31,19.9,15.4,5.4,77,1012.9,64,2.06,LTR
2008,2,29,20.9,13.1,5.8,67.76,1012.9,7,0.24,NRT
2008,3,31,25.8,21.8,5.6,79.81,1009.5,6,0.19,NRT
2008,4,30,28.4,22.1,6.4,73.57,1007.2,1,0.03,NRT
2008,5,31,28.9,24.6,7,77.97,1003.8,244,7.87,LTR
2008,6,30,28.3,24.3,8.3,83.43,1002.2,538,17.93,MHR
2008,7,31,27.3,25.2,8.4,87.94,1001.9,963,31.06,MHR
2008,8,31,27.6,25.4,7.9,87.68,1003.3,757,24.42,MHR
2008,9,30,27.9,24.3,7.2,85.2,1005.1,250,8.33,LTR
2008,10,31,27.6,24.2,5.5,81.77,1009.1,171,5.52,LTR
2008,11,30,24.6,19.2,4.7,75.93,1011.5,31,1.03,LTR
2008,12,31,21.9,18,4.7,79.19,1013.2,0,0,NRT
2009,1,31,20.9,14.9,5.4,71.39,1014.4,0,0,NRT
2009,2,28,23.2,14.6,5.9,67.39,1011,2,0.07,NRT
2009,3,31,26.6,20.7,5.8,72.1,1009.5,3,0.1,NRT
2009,4,30,28.7,23.9,7.9,79.23,1007,114,3.8,LTR
2009,5,31,28.9,24.9,6.9,79.06,1004.4,373,12.03,MHR
2009,6,30,28.8,24.7,7.9,82.7,1001.7,434,14.47,MHR
2009,7,31,27.7,25.2,9,87.1,1000.7,1244,40.13,MHR
2009,8,31,28,25.6,7.3,86.77,1004.1,693,22.35,MHR
2009,9,30,28.3,24.5,6.2,84.43,1005.1,281,9.37,LTR
2009,10,31,27.5,23.7,6.1,80.61,1008.8,300,9.68,LTR
2009,11,30,25.4,19.5,5.3,74.2,1011.7,17,0.57,NRT
2009,12,31,21.1,15.8,5.3,73.55,1013.9,0,0,NRT
2010,1,31,19.8,14.2,5.9,72.35,1014.8,0,0,NRT
2010,2,28,23.1,13.4,6,63,1012.8,8,0.29,NRT
2010,3,31,27.2,21.7,7.7,74.03,1010.2,40,1.29,LTR
2010,4,30,29.1,24.1,8.7,78.23,1008.4,46,1.53,LTR
2010,5,31,29,25.2,7.2,80.1,1004.8,346,11.16,MHR
2010,6,30,28.4,25,7.3,86.47,1003.4,747,24.9,MHR
2010,7,31,28.7,25.5,7.6,83.65,1003.8,267,8.61,LTR
2010,8,31,28.5,25.8,5.8,85.74,1004.5,516,16.65,MHR
2010,9,30,28.5,24.6,4.9,84.07,1006,116,3.87,LTR
2010,10,31,28.2,24.8,5.4,82.19,1006.5,294,9.48,LTR
2010,11,30,25.6,20.4,5.3,77.27,1010.8,38,1.27,LTR
2010,12,31,21.1,15.9,5.1,73.77,1010.4,19,0.61,NRT
2011,1,31,19,12.6,5.1,68.87,1012.4,0,0,NRT
2011,2,28,22.7,13.9,5.7,67,1011.3,0,0,NRT
2011,3,31,25.5,18.7,7,69.35,1009.7,35,1.13,LTR
2011,4,30,27.6,22.5,5.5,77.73,1008.7,133,4.43,LTR
2011,5,31,28.4,24.8,5.6,80.84,1004.8,276,8.9,LTR
2011,6,30,28,24.5,6.5,85.33,1000.4,481,16.03,MHR
2011,7,31,28.2,25.3,6.1,84.58,1002.2,562,18.13,MHR
2011,8,31,27.5,25.2,6,87,1003.2,806,26,MHR
2011,9,30,27.7,24.2,5.6,85.8,1003.8,762,25.4,MHR
2011,10,31,27.7,24,4.8,80.45,1008.4,46,1.48,LTR
2011,11,30,24.1,18.4,5.7,74.6,1011.6,0,0,NRT
2011,12,31,20.6,16,5.4,77.03,1012.7,0,0,NRT
2012,1,31,20.4,13.8,6.5,68.19,1013.2,0,0,NRT
2012,2,29,22.8,13.3,6.4,62.52,1010.7,0,0,NRT
2012,3,31,26.2,21.3,6,76.29,1009.3,30,0.97,NRT
2012,4,30,27.2,22.7,7.6,80.17,1007.6,192,6.4,LTR
2012,5,31,29.1,25.3,6.4,80.06,1003.7,188,6.06,LTR
2012,6,30,28.2,24.9,7.3,86.6,999.8,1337,44.57,MHR
2012,7,31,27.5,25.3,7.7,88.32,1001,788,25.42,MHR
2012,8,31,28.1,25.6,6.6,86.65,1002.5,299,9.65,LTR
2012,9,30,28.3,24.9,6.1,85.67,1005.9,170,5.67,LTR
2012,10,31,27.3,24.3,5.6,84.58,1009.6,636,20.52,MHR
2012,11,30,24.2,19.1,5.5,77.67,1011,3,0.1,NRT
2012,12,31,19,15.3,6,80.71,1012.7,0,0,NRT
2013,1,31,18.4,12.9,6.5,72.58,1014.4,0,0,NRT
2013,2,28,22.9,13.8,7.2,64.79,1012.4,0,0,NRT
2013,3,31,25.9,21.1,7.1,77.06,1010.5,3,0.1,NRT
2013,4,30,28.2,23,7,77.9,1007.6,58,1.93,LTR
2013,5,31,27.2,24.6,7.5,85.87,1004.3,773,24.94,MHR
2013,6,30,28.6,24.8,7.2,84.5,1001.4,513,17.1,MHR
2013,7,31,28.3,25.4,6.5,84.23,1000.8,405,13.06,MHR
2013,8,31,27.9,25.3,5.9,86.1,1003.1,267,8.61,LTR
2013,9,30,28.2,24.6,6.4,84.47,1004.9,173,5.77,LTR
2013,10,31,26.9,24.3,5.2,85.77,1009.6,369,11.9,MHR
2013,11,30,24.2,19.3,5.3,78.1,1011.9,0,0,NRT
2013,12,31,20.8,16.5,5.3,77.77,1013.3,0,0,NRT
2014,1,31,19.7,14.1,6.4,72.06,1015.6,0,0,NRT
2014,2,28,22.2,14.2,7.5,69.36,1012.2,37,1.32,LTR
2014,3,31,25.7,18.9,7,68.97,1011.6,18,0.58,NRT
2014,4,30,29.4,23.7,6.6,76.8,1008.2,43,1.43,LTR
2014,5,31,29.5,25.6,7.1,79.77,1006.2,304,9.81,LTR
2014,6,30,28.5,25,7.5,85.43,1000.7,1494,49.8,MHR
2014,7,31,28.4,25.7,6.8,85,1001.1,395,12.74,MHR
2014,8,31,27.9,25.5,6.9,87.13,1003.8,692,22.32,MHR
2014,9,30,28.2,24.5,5.8,84.33,1006.1,363,12.1,MHR
2014,10,31,27.5,23.9,5.7,80.58,1010.4,104,3.35,LTR
2014,11,30,25.2,18.8,5.7,72.3,1011.4,0,0,NRT
2014,12,31,21.5,16.2,5.4,73.74,1013.8,0,0,NRT
2015,1,31,20.9,15.1,6,71.42,1014.8,6,0.19,NRT
2015,2,28,22.7,14.4,6,68.32,1013.9,10,0.36,NRT
2015,3,31,26.7,18,7.5,62.68,1012.3,32,1.03,LTR
2015,4,30,28,22.8,7,77.4,1009.6,89,2.97,LTR
2015,5,31,29.9,25.3,6.9,77.06,1006.1,381,12.29,MHR
2015,6,30,28.9,24.6,6.7,82.27,1003.1,724,24.13,MHR
2015,7,31,27.8,25.6,6.1,88.39,1000.6,770,24.84,MHR
2015,8,31,28.6,25.7,6.4,84.52,1004.3,590,19.03,MHR
2015,9,30,29.2,24.8,6,81.77,1006.2,398,13.27,MHR
2015,10,31,27.6,23.9,3.6,80.97,1010.5,262,8.45,LTR
2015,11,30,24.8,19.2,4.4,75.9,1012.6,31,1.03,LTR
2015,12,31,21.2,16.6,5.5,76.45,1014.9,6,0.19,NRT
